,object,scale,angle_deg,scattered_re_0,scattered_im_0,scattered_re_1,scattered_im_1,scattered_re_2,scattered_im_2,scattered_re_3,scattered_im_3,scattered_re_4,scattered_im_4,scattered_re_5,scattered_im_5,scattered_re_6,scattered_im_6,scattered_re_7,scattered_im_7,scattered_re_8,scattered_im_8,scattered_re_9,scattered_im_9,scattered_re_10,scattered_im_10,scattered_re_11,scattered_im_11,scattered_re_12,scattered_im_12,scattered_re_13,scattered_im_13,scattered_re_14,scattered_im_14,scattered_re_15,scattered_im_15,scattered_re_16,scattered_im_16,scattered_re_17,scattered_im_17,scattered_re_18,scattered_im_18,scattered_re_19,scattered_im_19
20,treasure,428.91757,-6.8970766,0.017466782,0.7636452,0.22870018,-0.55528086,0.39380533,0.2825122,-0.82597774,0.29076737,0.9267822,-0.21854766,-0.15325406,0.1498078,-0.2668429,-0.21475273,-0.17164987,0.10969752,-0.4087965,-0.2537012,-0.12925296,0.9098138,0.25960183,-0.037915546,-0.26537466,-0.11465134,-0.35963264,-0.30074468,-0.24844109,-0.54795164,0.19650733,0.67519665,-0.39794147,0.36460942,-0.10681668,0.1312919,-0.994948,0.5161821,0.047693122,0.22073226,0.4072442,-0.85534525
21,hook,279.7451,4.4343514,-0.24083701,1.0607388,0.7472473,0.8308188,-0.4529466,0.420761,-0.102818206,0.77698493,-0.45649305,0.61117876,-0.28955132,-1.5538119,1.0472649,0.15151358,1.4936247,-0.26004902,0.8602358,1.255465,-0.7735316,-0.27124107,0.9485117,0.38339666,-0.23122345,0.7566943,-0.24686778,-0.1177254,-0.2027401,1.8906305,-0.91681886,0.026643213,-0.37952557,-0.060369883,-0.56573135,0.35036337,0.19949171,0.036735747,0.24975981,0.5886804,-0.26868194,-0.47449753
22,treasure,472.77402,27.63937,0.34953874,0.5033738,0.15170684,-0.078619316,-0.23039751,0.11448388,0.28986102,-0.060345776,-0.43227288,0.6001171,0.098261766,0.5342847,0.21370947,0.114025556,-0.38159645,-0.033455584,-0.44375715,1.1586502,0.011137111,0.48908466,0.057698853,0.52867967,0.97743005,-0.014305663,-0.6392117,0.22501183,0.27307823,-0.14895104,-0.8576546,0.4642015,-0.38024938,-0.5502619,-0.44180527,-0.072565064,0.1636867,0.6461283,-0.36768484,0.32790017,0.40413272,0.9234346
23,treasure,341.3223,12.150781,0.608405,0.6708727,-0.24267699,0.02572257,0.22483623,-0.3891196,-0.32439443,0.59036267,0.3360165,-0.6135272,0.2156417,0.49113324,0.25838014,-0.32321313,0.104719244,-0.33261916,-0.22679411,0.011748458,-0.5237851,-0.69933635,-0.006135821,0.8245743,0.47884816,1.3438833,0.28119582,-0.4085573,1.2572482,-0.3283138,-0.2310078,-0.69868356,-0.09709001,0.07135959,0.3443639,0.7586154,0.4964242,-1.4612142,0.3701958,0.98973465,0.46776798,-1.0888846
24,treasure,327.49976,1.346121,0.4677737,0.60558546,-0.090992555,0.34909868,-0.25961804,-0.80059886,0.5318072,0.86908484,-0.20265676,-0.4921359,0.025830925,0.5883069,-0.3574764,0.5987245,0.5679484,-0.6127155,0.06622486,0.24626683,0.41235283,-1.3053086,-0.14338887,-0.16128854,1.045845,0.8114602,0.46992084,-0.113417275,-0.33228526,-0.86355144,-0.2196986,-0.7749875,0.60533696,-0.16781044,0.8089751,-0.52613705,-0.234853,-0.09167047,1.3818622,0.6408003,-0.59065336,-0.07398484
25,treasure,441.37427,-15.033969,0.1165611,0.9844294,-0.29832616,-0.45921585,0.15843362,-0.54725486,0.6843611,0.2817187,-0.20685218,0.6577778,-0.68686587,-0.7358599,-0.1069149,0.484216,0.5339399,-0.21294102,0.030570041,-0.14662841,0.4514409,-0.29580775,-0.00035102046,-0.110592514,-0.58102316,-1.0575114,-0.063341215,0.2871804,0.67560345,0.40075704,0.84667766,-0.24346557,0.005054616,0.103685774,0.28027165,-1.2925817,0.28900686,-0.10015612,0.11146693,-0.2780668,0.41156098,-0.037744727
26,treasure,473.6088,1.231451,0.055719186,0.48957023,0.29478177,-0.3135823,0.19592997,-0.037278384,-0.24095215,0.6789,-0.02720022,-0.29116556,0.2522014,-0.22835067,-0.30797288,0.48029536,-0.27694923,-0.42646134,0.016584175,0.7180626,0.26572356,0.29456523,-0.14262809,0.07963443,-0.7087781,0.1420563,-0.18479204,-0.15960306,0.36442393,0.9707582,0.44776082,0.24226858,-0.73170424,0.18385558,-0.44526947,0.06366525,-0.78162664,0.45636934,0.33114195,-0.19335255,0.43070123,-0.16312578
27,hook,334.66827,17.37795,-0.031788453,0.5836614,-0.008419423,0.6082763,-1.0613577,-0.65292937,0.7679104,-0.48606312,-0.11775086,-0.13232675,0.31392556,-0.15614054,-0.5337647,0.1352132,-0.4342194,-1.0579461,0.38669458,-0.3619605,-0.80934405,0.23206532,-0.5727778,-0.7980148,0.19341773,0.95623136,-0.22121201,1.4569001,-0.106745295,0.5446329,-0.28173357,-0.49696273,-0.2684946,0.7232638,-0.17687528,-0.2565679,-0.439274,-0.74400175,-1.0068867,-0.3153642,-0.12713203,0.3689842
28,hook,395.0602,17.291845,-0.1815923,0.9193938,0.32868326,-0.19683294,0.19913046,0.61709297,-0.9317676,0.39441746,-0.321663,-0.8448654,0.47303352,0.02195072,0.0812752,0.17627534,0.13482569,0.2843446,-0.5605314,0.26492712,-0.48441947,-0.5775953,0.18822853,-0.5108909,-0.07812345,0.32661226,-0.22318083,0.027307272,0.4861811,0.68418443,0.5532518,0.48311502,0.13727358,0.10807394,-0.105185136,-0.94906336,-0.6522549,-0.5868141,0.13240443,-0.18906887,-0.4461213,-0.36233613
29,hook,334.2316,19.751307,-0.15784955,0.7439118,0.5273119,0.3359603,-1.1374209,0.41787347,-0.25002885,-1.0257167,0.25632435,0.048737217,-0.046319757,-0.10818964,0.3418729,0.4129315,-0.6226896,0.9420349,-0.6078739,-0.07487369,0.4785772,0.08490763,-0.16903315,-0.020299427,-0.62895983,-1.4025809,-1.0390253,-0.8694946,0.42182085,0.0303604,-0.072441965,-0.40594772,-0.19093598,-0.6230375,0.5204764,0.0028888432,0.79734427,-0.30683625,0.087604016,-0.66330004,-0.29736617,-0.16115041
