,iexp,character,scattered_re_0,scattered_im_0,scattered_re_1,scattered_im_1,scattered_re_2,scattered_im_2,scattered_re_3,scattered_im_3,scattered_re_4,scattered_im_4,scattered_re_5,scattered_im_5,scattered_re_6,scattered_im_6,scattered_re_7,scattered_im_7,scattered_re_8,scattered_im_8,scattered_re_9,scattered_im_9,scattered_re_10,scattered_im_10,scattered_re_11,scattered_im_11,scattered_re_12,scattered_im_12,scattered_re_13,scattered_im_13,scattered_re_14,scattered_im_14,scattered_re_15,scattered_im_15,scattered_re_16,scattered_im_16,scattered_re_17,scattered_im_17
14,999,daisy,-0.43984088,-0.07256426,-0.2466244,-0.26226157,-0.19957115,-0.38676357,-0.14367086,0.57794553,-0.36611256,0.48557124,-0.57151216,-0.15863982,0.16676082,0.41222668,0.20032872,0.53119504,0.024643704,0.5279518,0.09152451,0.32322752,0.1877339,0.3121372,0.45539355,0.5854321,-0.06814418,0.4707885,-0.35486367,0.63507175,-0.57484215,0.1939998,-0.6384261,-0.052752726,-0.27277938,-0.50928104,0.6065261,-0.5800838
15,999,daisy,-0.43853208,-0.32207012,-0.033109464,-0.3911508,0.6750186,-0.115307406,-0.26139906,0.5059532,-0.561793,0.3627664,-0.4719511,0.07535348,0.19667532,0.3193529,0.18387203,0.4507977,-0.06509778,0.6241401,0.18216749,0.046372347,0.31142116,0.048641153,0.37801817,0.62611556,0.09841907,0.1145227,-0.2171781,0.09124782,0.9104134,-0.29875708,-0.025949825,-0.20941676,0.68009716,0.24640179,-0.036887273,0.14573313
16,999,daisy,-0.11057437,-0.15330382,0.34965137,-0.19076167,-0.31151494,-0.10891725,-0.11684868,0.09500588,-0.24895799,0.12090012,-0.09550749,-0.64273065,-0.15907441,0.07593816,-0.17943169,0.0939744,-0.20217375,0.24077073,-0.24235246,-0.081778914,-0.2406205,-0.21042192,0.08097115,-0.37906086,0.071588024,-0.22825631,0.21236794,0.00010903617,-0.29708657,-0.2000135,0.012809501,0.15915665,-0.064380296,-0.21591488,-0.2522648,0.23885909
17,999,daisy,-0.069079354,0.12468682,-0.05110926,0.5751832,-0.2516272,-0.006465891,0.4646476,0.42597592,0.11617757,0.29793257,0.53686804,0.57208806,0.5318394,-0.06826851,0.75072926,0.16865355,0.19752988,0.86413777,-0.10279474,0.06432955,-0.32835013,-0.123866506,0.28474864,-0.5541245,-0.26758593,-0.36733112,0.0870382,-0.28297287,0.77353925,-0.36530417,0.21008071,0.0057091494,0.30076987,-0.07640013,0.5415616,-0.14800498
18,999,mickey,-0.053683292,0.099700406,0.0054510883,-0.62831736,0.06676141,-0.55377555,-0.06413802,-0.2719046,0.19200006,0.036036182,-0.52977467,-0.7074836,-0.23348291,0.120514505,-0.3155996,-0.034382734,0.27587998,-0.21223134,-0.029194195,0.23207337,-0.1637892,0.28009853,-0.22397923,-0.13466233,0.026425099,-0.0078100343,0.39034665,0.029727608,-0.2761179,0.39615703,0.117718026,0.34497812,-0.50782436,0.004072305,-0.11941933,-0.10094491
19,999,daisy,-0.10636367,0.089480884,-0.15079726,-0.13980092,0.36889312,0.18043296,0.096827045,0.003340499,0.072257645,0.12468892,-0.21898758,0.17811075,-0.064214036,-0.12511519,-0.044376675,-0.1270702,-0.0007247175,-0.048214946,-0.20170113,-0.20996125,-0.25824094,-0.33796158,-0.025523553,-0.8494538,0.10617475,-0.38325477,0.44950312,-0.22339474,-0.48981687,-0.10534638,0.22664134,0.28419065,-0.29055616,-0.109115355,-0.38995352,0.16928948
20,999,mickey,-0.07959461,-0.1825475,0.14848918,-0.012996499,-0.17055158,-0.52982986,-0.12822708,0.22356132,-0.2215474,0.060551185,0.14875816,-0.24191858,0.28199938,0.3330262,0.3308526,0.40450037,0.45410636,0.59646267,0.33689067,0.5769071,0.22582564,0.8851048,-0.58409095,0.7320411,-0.52736706,0.46478823,-0.59413767,-0.23495701,-0.016702186,-0.10870793,0.11246945,-0.49234846,0.055854063,0.22080366,0.076300286,-0.17576398
21,999,mickey,-0.07689696,-0.43940005,-0.29140872,-0.5956121,0.6773826,-0.09402937,-0.7827035,0.0851894,-0.56290334,-0.23442167,-1.0807498,-0.24806231,-0.32683772,0.65252054,-0.530127,0.7384172,-0.7565821,0.29112208,-0.16055012,0.5037469,-0.23802553,0.60658425,-0.5345334,0.5048544,-0.328348,0.062069383,-0.12788703,-0.2097798,0.050282024,0.5850286,0.1646808,-0.0731282,-0.2799468,0.2842384,0.3896525,-0.09444249
22,999,daisy,-0.65829384,-0.12604366,-0.30917236,-0.7706957,0.15503742,0.46338338,-0.17976008,0.52243394,-0.4299066,0.6274548,-1.2392651,0.10909582,0.07980088,0.35746312,0.11320907,0.41415346,0.2694312,0.5505018,0.03201975,0.24523538,0.06008284,0.3170328,-0.15085758,0.41957077,-0.20752959,0.17070441,-0.36317486,-0.043056723,0.07552325,-0.60063994,-0.016773323,-0.30613253,0.32919282,-0.004702227,-0.24049082,-0.5691339
23,999,daisy,-0.28167555,0.013687809,-0.124471,-0.4118832,0.23014344,0.6786537,0.11533381,0.2804063,-0.00951953,0.3618249,-0.5863575,0.12638278,0.3145408,0.16175477,0.3794948,0.21342587,0.5050108,0.34986517,0.24480493,0.26436418,0.22405955,0.34705135,0.1868282,0.5302166,-0.15480375,0.28537375,-0.33060715,0.16022636,0.21286127,-0.5247022,-0.15562604,-0.24795718,0.3475706,-0.15397252,0.112880535,-0.34963647
24,999,daisy,0.029492725,0.07787267,0.13797452,-0.37904248,1.0182937,0.1894668,0.2701171,-0.024457766,0.32829103,0.046087995,0.2422415,-0.5762135,0.5107788,-0.18891855,0.558588,-0.15276001,0.9870771,-0.24319753,0.56534135,-0.014973136,0.603137,0.122460514,0.62122875,0.19905542,0.09164647,0.3766539,-0.04923295,0.35419482,-0.84230924,0.18342271,-0.3681419,-0.026268693,-0.3665507,-0.55403006,0.61413914,0.15648077
25,999,daisy,0.03920076,-0.07076377,0.832581,-0.12089978,0.15192288,0.62314796,0.2837051,-0.3088774,0.12012987,0.02128116,0.79971755,-0.6258393,-0.042079326,-0.26685104,0.08134065,-0.39634532,0.637788,0.32282785,-0.065010644,0.057348862,-0.30833706,0.08146609,-0.6445256,-0.67818135,-0.09707133,-0.23168042,0.41429463,-0.38626575,0.069109865,0.7007754,0.4315029,0.28558132,-0.51708883,0.34906018,0.6109555,0.27043366
26,999,daisy,-0.4427659,-0.112232365,-0.2346057,-0.6887096,0.40968254,0.64854866,-0.03920829,0.28598455,-0.20519757,0.3793636,-0.9771331,0.07854954,0.19157821,0.15063898,0.26078486,0.19022658,0.4395742,0.3359109,0.18941723,0.2278033,0.17215168,0.33716992,0.10831305,0.49660206,-0.19374794,0.25814173,-0.36668405,0.08793771,0.2761787,-0.72754735,-0.107022226,-0.30103546,0.4309803,-0.15252295,0.08535205,-0.46338984
27,999,daisy,0.37022734,0.20390396,-0.18415059,0.4932865,-0.22397476,0.44894886,0.16460429,0.12070767,0.40452984,-0.19565304,0.5015334,0.29754183,0.63612944,0.15530148,0.5925264,0.35949126,0.34004578,0.24735627,0.4337839,0.17866468,0.2596647,0.24305674,0.5647994,-0.18203476,-0.062134463,-0.14454187,0.38427216,-0.3329469,0.9307746,-0.15960413,0.3987267,0.1296557,0.025795884,0.1287728,0.87655354,0.08040154
28,999,mickey,0.1214969,-0.11173866,0.18720813,-0.18358247,0.06744101,0.9486332,0.025917474,-0.21783032,0.03765449,-0.2198174,-0.23064288,-0.2818735,0.005933027,-0.2569067,0.03196292,-0.2987695,0.121195555,-0.34408212,0.14878984,-0.17997743,0.17811498,-0.12447336,0.09186594,0.011218699,0.13903695,0.051815335,0.09848674,0.015629739,0.63621944,0.7346526,0.019134069,0.100741096,-0.15005632,0.32104307,0.8521698,0.047945015
